datetime,temp,dew,humidity,sealevelpressure,precipitation,temp_EMA_3_days,humidity_lag_3_days,season_sin,season_cos,winddir_sin,winddir_cos,moisture_flux,temperature_inversion_index
2021-04-21,18.6,53.1,65.4,1017.9,0.0,19.092928630932807,64.6,0.9510565162951536,0.3090169943749474,0.9999025240093042,0.0139621803391453,673.5543382231476,-0.069
2021-04-22,18.2,49.3,61.9,1018.8,6.6,18.646464315466403,62.4,0.9510565162951536,0.3090169943749474,-0.915662593339561,-0.4019477766559603,-725.4977859548011,-0.0622
2021-04-23,19.8,44.5,47.0,1016.1,0.0,19.2232321577332,56.4,0.9510565162951536,0.3090169943749474,-0.9278362538989204,0.3729877825758081,-558.1862903455906,-0.0494
2021-04-24,21.7,44.7,43.4,1016.5,0.0,20.4616160788666,65.4,0.9510565162951536,0.3090169943749474,-0.8480480961564262,0.5299192642332047,-552.0793105978335,-0.046
2021-04-25,22.2,45.1,42.9,1016.6,0.0,21.3308080394333,61.9,0.9510565162951536,0.3090169943749474,-0.7793379649314737,-0.626603811364461,-464.727021868287,-0.0458
2021-04-26,22.5,47.9,44.7,1015.9,0.0,21.91540401971665,47.0,0.9510565162951536,0.3090169943749474,-0.1166707370993328,-0.993170649538486,-66.7543289387543,-0.0508
2021-04-27,22.4,47.8,44.4,1016.6,0.0,22.15770200985833,43.4,0.9510565162951536,0.3090169943749474,-0.1253332335643038,-0.992114701314478,-89.59320868110696,-0.0508
2021-04-28,22.6,49.5,46.3,1017.7,0.0,22.378851004929164,42.9,0.9510565162951536,0.3090169943749474,-0.3697467572738291,-0.9291325715340562,-237.95792057871824,-0.0538
2021-04-29,19.2,54.9,68.4,1019.2,5.3,20.78942550246458,44.7,0.9510565162951536,0.3090169943749474,0.9455185755993168,-0.3255681544571566,898.9612409368066,-0.0714
2021-04-30,18.7,54.3,70.9,1017.9,1.0,19.74471275123229,44.4,0.9510565162951536,0.3090169943749474,0.5180270093731302,-0.8553642601605066,418.70051059592623,-0.0711999999999999
2021-05-01,19.2,57.1,73.5,1017.6,0.3,19.472356375616144,46.3,0.9510565162951536,0.3090169943749474,0.2756373558169992,-0.9612616959383188,318.07172674502624,-0.0758
2021-05-02,17.4,59.6,88.1,1017.5,12.8016,18.43617818780807,68.4,0.9510565162951536,0.3090169943749474,0.9593139745400576,-0.2823414568428765,583.1573719831555,-0.0844
2021-05-03,19.4,60.2,81.0,1015.2,0.0,18.91808909390404,70.9,0.9510565162951536,0.3090169943749474,-0.980271174621722,0.197657340379126,-1564.2187133438815,-0.0816
2021-05-04,18.5,60.9,86.2,1015.3,0.0,18.70904454695202,73.5,0.9510565162951536,0.3090169943749474,0.4099230338415728,-0.912120116172273,530.0304827571537,-0.0848
2021-05-05,18.8,60.0,82.3,1015.6,1.5,18.75452227347601,88.1,0.9510565162951536,0.3090169943749474,0.5165333288666419,-0.8562670846003282,544.1368699612752,-0.0824
2021-05-06,19.4,58.9,76.1,1017.3,0.8,19.077261136738,81.0,0.9510565162951536,0.3090169943749474,0.9449489121575309,-0.3272178989791037,496.18322428479786,-0.079
2021-05-07,20.0,60.0,77.6,1017.7,0.0,19.538630568369,86.2,0.9510565162951536,0.3090169943749474,0.8544588301328073,-0.5195191118795095,610.0152480084138,-0.08
2021-05-08,20.3,56.1,65.9,1017.1,0.0,19.9193152841845,82.3,0.9510565162951536,0.3090169943749474,-0.976672278334168,-0.2147353271670632,-823.8426002204375,-0.0716
2021-05-09,20.2,53.8,61.2,1015.2,0.0,20.059657642092247,76.1,0.9510565162951536,0.3090169943749474,-0.6045991148623747,-0.7965299180241964,-677.1268246812652,-0.0671999999999999
2021-05-10,18.9,59.2,79.9,1014.0,1.3,19.479828821046123,77.6,0.9510565162951536,0.3090169943749474,0.9822872507286888,-0.1873813145857246,635.7264857991,-0.0806
2021-05-11,18.4,60.1,84.5,1013.0,7.9,18.93991441052306,65.9,0.9510565162951536,0.3090169943749474,-0.8660254037844384,-0.5000000000000004,-834.2422714655496,-0.0834
2021-05-12,18.2,60.6,87.0,1011.4,7.1,18.56995720526153,61.2,0.9510565162951536,0.3090169943749474,0.8329212407100995,-0.553391549243344,826.0912865362767,-0.0848
2021-05-13,17.7,59.2,85.6,1012.2,5.1,18.134978602630767,79.9,0.9510565162951536,0.3090169943749474,0.9937679191605964,-0.1114689322063255,493.3858965048529,-0.083
2021-05-14,20.3,57.7,71.2,1010.6,0.0,19.217489301315386,84.5,0.9510565162951536,0.3090169943749474,-0.8729220772698096,0.4878596591387327,-795.5462643406138,-0.0748
2021-05-15,21.4,57.4,66.2,1012.9,0.0,20.30874465065769,87.0,0.9510565162951536,0.3090169943749474,-0.8995577789551806,0.4368017883677015,-827.7550770389782,-0.072
2021-05-16,23.3,55.4,56.5,1014.7,0.0,21.80437232532885,85.6,0.5877852522924732,-0.8090169943749473,-0.997440782930944,0.0714974443326866,-845.331063533975,-0.0642
2021-05-17,23.1,58.6,61.1,1015.2,0.0,22.452186162664425,71.2,0.5877852522924732,-0.8090169943749473,-0.5606389945632422,0.8280603346224942,-352.82693844848524,-0.071
2021-05-18,23.0,62.0,68.2,1013.8,0.0,22.726093081332213,66.2,0.5877852522924732,-0.8090169943749473,-0.974761194191222,0.2232501160109505,-684.7307484715658,-0.078
2021-05-19,20.8,64.3,84.3,1013.6,0.0,21.763046540666107,56.5,0.5877852522924732,-0.8090169943749473,0.778243148526021,0.6279630576493379,308.3477178774948,-0.087
2021-05-20,19.7,65.7,94.4,1013.4,8.6,20.731523270333053,61.1,0.5877852522924732,-0.8090169943749473,0.9799247046208296,-0.199367934417197,638.2837556018236,-0.092
2021-05-21,22.2,64.8,80.9,1012.6,3.0,21.46576163516653,68.2,0.5877852522924732,-0.8090169943749473,-0.51802700937313,-0.8553642601605068,-674.7249994384082,-0.0851999999999999
2021-05-22,24.2,65.4,72.5,1011.6,0.0,22.832880817583263,84.3,0.5877852522924732,-0.8090169943749473,-0.7569950556517563,-0.6534206039901056,-2145.891734008816,-0.0824
2021-05-23,25.1,65.7,69.9,1012.2,0.0,23.966440408791637,94.4,0.5877852522924732,-0.8090169943749473,-0.7384553406258836,-0.6743023875837236,-531.6656915904175,-0.0812
