datetime,tempmax,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,solarenergy,precipitation,month,season,month_sin,month_cos,season_number,season_sin,season_cos,winddir_sin,winddir_cos,orographic_precipitation_potential,valley_temperature_inversion_index,urban_heat_island_effect_refined
2024-08-21,75.1,67.9,70.5,70.0,98.3,9.2,296.1,1014.9,90.0,11.6,1.3,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.8980275757606156,0.439939169855915,-812.1402184148703,0.001,0.6148999999999999
2024-08-22,80.5,67.9,73.1,70.0,91.0,9.2,184.5,1014.0,88.0,9.6,6.5,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.07845909572784482,-0.996917333733128,-65.68595494335167,0.0061999999999999885,3.2339999999999947
2024-08-23,82.3,71.5,74.6,71.3,90.3,9.2,235.8,1014.4,88.0,12.7,7.7,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.8270805742745622,-0.5620833778521301,-687.1054578843352,0.006599999999999994,3.4343999999999975
2024-08-24,84.1,69.7,75.6,70.8,86.7,15.0,152.7,1014.3,84.8,18.1,5.6,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.45864955448431516,-0.8886172326549487,596.4737456068519,0.009599999999999994,4.966299999999998
2024-08-25,84.1,69.7,75.3,69.7,84.5,13.9,208.3,1012.8,70.6,18.8,4.0,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.47408820904711646,-0.8804773535091619,-556.8403059362906,0.01119999999999999,5.906799999999995
2024-08-26,84.1,69.7,73.0,70.3,92.3,15.0,169.5,1013.1,81.6,14.7,8.7,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.18223552549214772,-0.9832549075639545,252.30508504387848,0.0054000000000000055,2.897100000000003
2024-08-27,82.3,67.9,72.6,69.4,90.7,9.2,127.9,1014.6,88.0,14.6,7.6,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.7890840848346906,-0.6142852000989433,658.4433237494592,0.006399999999999977,3.3345999999999885
2024-08-28,84.1,69.7,76.2,70.5,84.0,12.8,207.1,1014.3,81.7,17.7,0.0,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.4555449072335153,-0.8902128046111266,-489.8018842574757,0.011400000000000006,5.897300000000003
2024-08-29,84.1,69.7,74.5,70.7,89.0,12.8,154.4,1014.5,84.8,16.3,2.8,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.43208574880198214,-0.9018325264051138,492.2320850352181,0.007599999999999994,3.9664999999999973
2024-08-30,87.7,67.9,76.8,68.4,78.1,12.8,264.0,1014.8,44.9,21.3,6.6,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.9945218953682734,-0.10452846326765336,-994.2036483617555,0.01679999999999998,8.96579999999999
2024-08-31,87.7,71.5,77.5,72.1,85.1,13.9,205.3,1014.3,73.8,19.0,0.5,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.42735786338719234,-0.9040825496607784,-505.517343022076,0.010800000000000011,5.676300000000007
2024-09-01,73.3,69.7,71.2,71.0,99.3,8.1,74.6,1015.6,90.0,5.1,0.0,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,0.9640954042341101,0.265556117486809,775.4508564876216,0.0004000000000000057,0.3156000000000029
2024-09-02,84.1,69.7,75.5,69.4,83.0,11.4,216.9,1015.9,83.3,15.8,0.0,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,-0.6004202253258842,-0.7996846584870904,-568.1176172033518,0.012199999999999989,6.282899999999994
2024-09-03,82.3,67.9,74.1,69.9,88.1,9.2,67.8,1015.9,75.9,18.3,4.0894,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,0.9258705848099947,0.3778407868184673,750.4366264001967,0.008399999999999977,4.4568999999999885
2024-09-04,82.3,69.7,74.4,69.7,86.6,13.9,235.8,1012.7,86.4,15.2,0.0,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,-0.8270805742745622,-0.5620833778521301,-995.5899704772614,0.009400000000000006,4.848700000000004
2024-09-05,78.7,67.9,73.1,69.5,89.1,106.0,134.0,1011.1,88.0,10.8,17.4,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,0.7193398003386511,-0.6946583704589974,6793.876678278423,0.0071999999999999885,3.7310999999999943
2024-09-06,82.3,67.9,73.9,69.3,87.2,13.9,170.2,1013.5,83.3,12.5,33.2,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,0.1702094991660327,-0.9854078984834901,206.30752974916493,0.009200000000000017,4.780500000000009
2024-09-07,85.9,69.7,76.5,69.1,80.5,11.4,214.3,1013.7,61.2,16.3,5.0,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,-0.5635260489375714,-0.8260982944957639,-517.1478551100093,0.014800000000000011,7.801700000000006
2024-09-08,85.9,69.7,77.0,68.6,77.3,15.0,207.2,1013.5,61.7,18.0,0.0,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,-0.45709792705869384,-0.8894163732912976,-530.0050464245555,0.016800000000000013,8.796500000000005
2024-09-09,84.1,69.7,76.1,70.2,83.5,11.4,161.1,1012.0,73.8,14.2,0.0,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,0.32391741819814945,-0.9460853588275453,308.3369903828185,0.011799999999999982,6.173999999999992
2024-09-10,85.9,71.5,77.1,70.5,82.1,12.8,164.4,1011.3,62.2,17.6,0.0,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,0.26891982061526576,-0.9631625667976581,282.60246108817046,0.013199999999999988,6.989299999999995
2024-09-11,85.9,71.5,77.4,70.2,79.9,12.8,192.7,1011.9,55.3,17.3,0.0,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,-0.2198462043528374,-0.9755345439458566,-224.84111011573387,0.014400000000000007,7.658900000000004
2024-09-12,82.3,71.5,75.5,69.4,82.1,9.2,105.4,1012.9,75.9,13.1,0.8,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,0.9640954042341101,-0.2655561174868089,728.200540726108,0.012199999999999989,6.353899999999994
2024-09-13,84.1,67.9,74.1,69.2,86.3,11.4,60.8,1011.5,71.7,15.5,6.2,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,0.8729220772698096,0.48785965913873275,858.7981980595841,0.009799999999999982,5.194499999999991
